Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Afghanistan,AFG,6738.543,7021.841,7127.302,7212.73,7465.759,7827.897,8671.811,9396.953,9959.927,10782.37,9560.366,8347.273,10195.37,10506.94,10500.32,10731.73,11175.95,11610.48,12904.92,13385.46,15196.11,15500.5,15632.09,15823.02,16300.03,15960.5,15829.4,15610.63,15912.89,16374.92
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Albania,ALB,3544.647,3496.495,3408.601,3487.992,4078.828,4080.307,3908.034,3702.707,3564.439,3614.401,3665.114,3607.008,3561.112,3572.184,3499.263,3485.975,3436.857,3304.334,3133.842,3023.684,3029.719,3019.352,3060.733,3060.841,3086.507,3105.396,3092.421,3047.633,3008.318,2848.236
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Algeria,DZA,52651.27,53536.69,54099.28,57295.4,58249.99,62447.5,65644.91,67334.53,68731.91,71320.06,74622.44,72280.68,74173.58,80491.44,81180.56,84278.33,85664.67,85188.12,85527.85,82332.23,82791.66,81292.78,85693.03,85511.68,89291.66,89625.3,93001.25,92895.32,94401.62,92344.67
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Andorra,AND,22.591,23.636,24.681,25.727,26.772,27.817,28.812,29.806,30.801,31.795,32.79,34.606,36.421,38.237,40.052,41.868,43.697,45.527,47.357,49.187,51.016,51.148,51.28,51.411,51.543,51.675,52.06,52.445,52.83,53.216
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Angola,AGO,21217.78,21491.67,21946.15,22575.52,23481.64,25230.28,25391.69,25685.17,27885.62,27091.04,27084.18,27094.88,28606.98,30733.64,31623.3,33097.83,32586.06,35328.36,36396.97,35526.36,36899.93,36638.01,35771.35,35760.1,34899.07,37108.01,37428.34,37621.71,34000.33,35088.32
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Antigua and Barbuda,ATG,125.551,132.017,137.107,142.556,148.095,153.287,156.675,161.596,166.397,172.183,176.954,180.417,183.512,186.567,189.825,192.442,194.734,196.029,198.108,200.09,186.232,188.396,190.435,192.427,194.509,196.564,198.527,200.592,201.95,202.078
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Argentina,ARG,109582.1,108705.7,110652.1,109536.4,110485.1,111968,110718.7,111153.4,110140,114048.8,115915.7,116089.5,119336.2,126968.9,128809.7,128269.7,130539.6,130809.8,130194.7,124013.5,115949.4,115248.7,118707.5,120356.2,121541,122005.8,123597.9,127552.6,127538.7,128800.3
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Armenia,ARM,3651.332,3446.688,3160.386,2899.311,2731.024,2566.292,2411.596,2260.054,2058.65,1913.886,1800.413,1847.498,1900.578,1954.215,2012.465,2045.433,2094.55,2168.83,2210.225,2174.743,2203.858,2214.394,2271.222,2361.511,2413.504,2466.878,2487.214,2433.369,2347.343,2323.11
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Australia,AUS,138832.9,138666.1,136656.7,135216.4,136207.1,134811.7,127374.9,127805.9,131114.1,145853.3,156049.3,166111.1,159494.6,119974.8,140378.5,121076.7,139661.9,136694.7,120486.6,124271.3,114900.3,164059.9,162622.7,125684.7,137669.5,134156.6,118378.5,141302.9,140600.6,126073.4
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Austria,AUT,11849.64,11850.49,11647.66,11326.75,10931.33,10444.85,10268.89,9946.179,9667.866,9540.497,9281.674,9168.186,9050.525,8898.668,8813.963,8623.939,8486.547,8332.143,8249.719,8072.845,8107.731,7922.195,7770.629,7633.339,7441.414,7391.791,7313.464,7270.09,7035.808,6917.643
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Azerbaijan,AZE,19221.44,18176.45,16047.53,11220.09,6560.52,6681.54,6470.962,6560.851,6903.012,7441.659,7560.61,8093.421,8221.639,8403.22,8623.838,9591.926,10831.54,12241.26,13554.32,13938.91,14018.9,13749.96,14009.55,14321.99,14273.03,14230.79,14133.82,13867.1,14219.94,14665.15
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,"Bahamas, The",BHS,145.582,147.606,150.114,152.277,154.45,157.711,159.099,160.957,165.443,168.469,167.094,168.496,172.313,171.345,186.504,181.568,182.818,186.686,195.925,192.688,192.277,204.45,199.452,208.354,204.434,209.089,212.086,217.803,213.415,216.222
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Bahrain,BHR,4824.611,4817.264,5065.35,5247.306,5386.793,5891.911,6431.175,7083.239,7673.463,8218.889,8774.064,9086.82,9424.041,9742.694,9979.327,10481.83,11091.22,11699.68,12351.1,12862.9,13481.79,13902.84,14144.28,15034.84,15479.68,15801.45,16244.3,16609.77,16899.16,17409.47
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Bangladesh,BGD,66259.7,66357.73,67183.4,67498.03,68474.16,69335.48,69045.06,69592.92,69274.8,71382.76,72142.04,72488.43,73964.76,75098.3,75107.69,77033.43,78508.19,79533.48,82468.5,83867.09,85581.23,86281.09,87002.58,87995.34,88740.1,89827.56,89903.58,92431.83,92052.22,92649.54
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Barbados,BRB,2072.534,2110.684,2149.297,2183.439,2221.734,2230.889,2241.694,2248.055,2258.38,2267.216,2275.846,2273.505,2271.321,2269.612,2268.046,2265.952,2268.589,2272.736,2280.173,2288.263,2294.82,2300.141,2306.418,2312.622,2318.263,2323.96,2331.041,2338.071,2344.825,2351.782
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Belarus,BLR,20534.31,20113.93,17996.81,17085.73,16242.47,15420.44,15164.05,14950.32,14884.43,14722.92,14330.51,14089.24,13886.18,13964.78,14389.84,14153.38,14550.1,14948.4,15773.16,15834.66,16299.13,15984.95,16252.17,16918.11,16990.73,17232.67,16811.45,17011.46,17027.5,17018.01
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Belgium,BEL,13259.2,13353.13,13160.8,12965.89,13010.81,13131.92,13010.53,12816.84,12553.51,12609.67,12136.78,11627.31,11079.2,10399.4,10259.42,9988.494,9834.392,9645.849,9452.02,9363.916,9237.058,8988.232,8830.978,8606.656,8538.459,8526.502,8447.744,8166.462,8186.108,8079.011
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Belize,BLZ,6108.389,6222.687,6362.762,6470.3,6594.153,5501.887,4435.568,3375.519,2316.434,1257.883,183.506,208.688,226.672,252.656,247.328,260.72,317.918,373.641,421.554,470.912,523.644,527.304,502.658,520.228,467.636,461.137,483.958,498.468,507.481,525.724
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Benin,BEN,2224.011,2313.969,2355.666,2369.895,2531.571,2356.67,2718.168,2799.868,2933.66,2840.53,3077.66,2664.205,2924.116,2845.366,2808.992,3177.249,3071.383,3163.516,3066.672,3154.578,3117.711,3236.499,3297.647,3511.837,3465.16,3533.418,3688.434,3715.704,3823.763,3912.794
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Bhutan,BTN,564.56,570.351,540.577,539.104,537.93,585.622,569.725,566.356,562.045,585.631,557.31,511.724,511.253,510.727,514.286,583.038,567.703,577.017,506.637,541.397,542.112,537.594,531.209,538.071,505.431,490.533,494.641,496.372,475.79,473.458
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Bolivia,BOL,15793.06,16331.48,16751.01,16257.17,16009.11,15395.66,15543.79,16516.09,16600.54,17137.77,17435.9,17526.91,19081.77,19358.07,21109.66,22373.04,22485.49,23039.29,23452.31,23362.63,25659.5,25565.62,26514.17,27509.91,27492.47,27938.33,28409.17,28228.75,27876.74,28360.84
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Bosnia and Herzegovina,BIH,5173.912,5101.332,3343.203,2560.976,2496.374,2279.885,2524.282,2956.102,3235.446,3382.172,3530.023,3505.473,2888.209,3123.36,3314.411,3413.773,3606.835,3787.973,3882.99,3994.513,3797.328,3882.065,3799.63,3797.818,3546.01,3597.32,3580.347,3523.349,3697.933,3656.765
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Botswana,BWA,5633.041,5302.898,5103.874,4920.733,5174.028,5652.22,6257.948,5985.15,5525.745,5495.25,5314.638,6273.086,6264.439,2903.052,3153.28,3701.766,4666.235,3717.463,7880,3632.626,9056.487,11140.54,5190,4618.707,3132.734,2891.802,2468.78,3844.841,2792.217,2017.573
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Brazil,BRA,282304.2,291439.4,296792.3,297867.7,304197.6,310158.6,299724.9,306557.9,314569,319540.5,327113.2,340001,358966.9,375101.4,391805.6,399341.4,396350,397068.1,396510.3,399905.7,419389.7,418755.1,421012,418521.4,424287.7,430367,432382,430136.3,424653,431067.4
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Brunei Darussalam,BRN,1321.752,1407.499,1489.228,1571.857,1528.727,1564.111,1531.916,1548.662,1474.265,1627.32,1731.606,1672.496,1770.875,1882.227,1884.769,1836.326,2036.784,1915.492,1998.187,1799.253,1803.128,1859.559,1819.26,1660.771,1658.245,1570.331,1565.14,1643.34,1622.56,1589.779
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Bulgaria,BGR,16367.96,15347.57,14808.07,13514.09,11719.36,12005.39,12064.42,11565.02,11064.79,10653.72,10576.78,9974.248,9441.205,9841.959,9328.292,8905.041,8516.537,8593.048,8316.769,7966.418,7812.117,8067.345,7782.704,7520.856,7503.744,7422.212,7131.678,7095.595,6962.762,6836.667
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Burkina Faso,BFA,6753.79,6964.411,7148.338,7294.151,7469.9,7704.846,7690.061,7985.56,8047.78,8062.527,8630.894,8378.169,8709.77,10748.7,11075.74,11397.44,11327.56,11609.31,12007.92,12441.61,13039.23,13302.28,13374.98,13760.29,14062.15,14259.32,15025.07,15257.14,15429.07,15845.02
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Burundi,BDI,601.765,611.355,616.271,597.346,540.809,553.849,545.422,566.041,504.655,507.094,518.971,535.218,520.22,539.456,573.018,604.293,657.637,695.078,750.725,826.399,926.155,1008.179,1009.982,1207.307,1168.251,1161.654,1324.809,1608.235,1607.71,1353.308
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Cabo Verde,CPV,76.15,78.004,85.523,87.779,84.388,87.754,82.047,82.299,84.136,81.758,78.05,78.952,81.175,80.92,87.395,87.665,86.846,85.697,86.175,91.521,95.164,89.233,90.422,91.771,93.068,94.409,95.783,88.536,88.979,89.627
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Cambodia,KHM,12142.48,11737.5,12035.81,12724.81,11490.97,13843.87,13858.41,14014.41,13952.98,14800.57,13952.63,13948.37,14161.46,15325.07,15023.88,16210.73,17100.79,17398.17,17590.97,18004.88,18190.33,18960.67,18411.64,18266.11,17774.7,17664.33,18128.84,18579.27,18470.98,18203.77
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Cameroon,CMR,10773.44,14900.04,14806.48,13586.1,12291.07,12298.9,12789.13,13110.31,13868.1,14149.1,15120.43,14594.55,14428.65,15185.43,14317.29,15047.53,14296.82,14064.62,13791.15,13486.1,13459.54,13230.21,13483.1,14058.61,14384.49,15293.85,15481.01,15062.83,15353.61,15549.07
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Canada,CAN,68967.87,70227.03,72705.39,74296.08,76014.59,79024.86,81023.86,82184.17,84604.64,84002.22,84633.82,85721.88,87326.26,87908.93,90426.93,91310.85,93162.98,91982,88217.89,85127.77,85556.3,86576.87,87011.02,89807.35,91931.37,92211.95,94445.39,98657.65,101726.2,101696.7
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Central African Republic,CAF,8678.134,8878.546,8903.559,8923.846,8997.216,9075.101,10057.84,10162.51,11127.3,10025.53,11461.36,9645.196,8592.763,11064.61,9834.496,10361.17,10452.52,10689.16,11237.14,9086.685,10128.06,10836.41,9465.808,10088.46,9878.38,10048.28,10952.43,10243.97,10531.87,9505.08
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Chad,TCD,9066.019,13321.14,13894.74,14497.95,15117.66,15814.23,17431.17,17923.8,18518.23,19710.34,21312.91,21604.49,24675.45,23163.01,26264.02,27601.31,28353.12,29645.06,30624.77,31426.41,33198.93,34915.61,36636.18,38315.64,40055.32,43720.52,46276.51,47769.71,50716.15,52718.12
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Chile,CHL,9972.412,10142.2,10409.95,10745.94,11118.36,11379.98,11651.87,12077.49,12305.57,12422.25,12402.73,12279.34,12054.54,11910.52,11914.14,11760.26,11545.94,11221.39,11650.85,11768.41,12279.03,12334.95,12612.06,11563.51,10830.77,10589.28,10908.29,11020.27,11410.42,11589.42
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,China,CHN,765393.8,775084.4,780749.9,790097.4,812514.7,849863.6,858016.5,812964.9,814876.1,809539.2,809197,802527.5,795520.1,820518.8,867144.8,904988.5,944229.8,974726.9,993606.8,1023738,1072775,1121239,1122670,1147024,1161124,1159607,1120074,1131485,1158960,1176139
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Colombia,COL,56341.83,56045.36,57112.15,58266.56,59611.28,61007.18,61980.68,61974.83,63225.18,61543.68,61626.2,62629.36,62491.5,63789.46,64614.35,65000.59,65335.55,67057.67,68162.84,69220.43,71850.15,70538.31,68879.99,69608.68,69664.66,69617.85,69603.89,70991.83,74122.79,76839.51
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Comoros,COM,153,153.93,157.643,161.295,162.16,164.327,166.282,168.351,172.938,174.8,155,167.993,171.831,165.937,168.488,171.284,186.527,166.268,188.375,190.978,202.244,217.108,224.234,228.144,235.103,238.402,246.22,252.322,259,267
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,"Congo, Dem. Rep.",COD,21514.9,21629.69,21964.16,23048.11,24190.23,24390.18,22449.46,22611.84,23051.37,22202.56,22177.6,23425.73,26119.17,28004.05,28941.39,28989.57,29576.27,28669.01,29738.74,29872.28,30678.21,30365.75,29569.7,31009.14,31871.76,32870.87,33484.77,35331.44,34250.95,34925.72
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,"Congo, Rep.",COG,4967.857,4954.356,5197.677,5084.916,4663.562,4998.466,5105.161,5572.981,6378.373,6705.591,6786.446,6554.331,5576.124,6041.76,6408.202,7460.315,8348.946,7021.889,7220.19,7774.29,8671.126,8431.547,7918.398,7414.351,7127.042,7116.466,6924.555,7456.907,8871.951,9258.016
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Costa Rica,CRI,3976.628,4034.345,4073.955,4151.085,3920.818,3658.125,3671.675,3681.1,3797.978,3778.615,3801.098,3733.478,3663.113,3605.953,3574.278,3704.173,3698.391,3889.559,4043.487,4101.577,4155.023,4263.793,4206.286,4286.028,4298.689,4343.134,4517.032,4577.007,4632.68,4690.296
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Cote d'Ivoire,CIV,4004.102,6553.203,9129.796,11519.71,14121.8,14463.32,14626.27,14968.82,15194.38,15519.41,15835.22,15343.83,15056.01,13988.39,12745.52,12888.62,12086.09,11245.9,10244.35,9247.897,8477.135,7971.776,7342.349,7700.127,7239.875,7091.873,7726.646,7423.653,7278.635,7231.063
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Croatia,HRV,4047.609,3980.476,3713.197,3665.559,3525.599,3442.361,3383.903,3356.815,3326.905,3374.015,3295.845,3378.199,3395.87,3509.671,3649.432,3627.522,3749.423,3787.576,3762.567,3819.024,3799.888,3806.982,3745.839,3647.433,3643.614,3738.49,3754.059,3770.747,3670.29,3678.518
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Cuba,CUB,12649.5,12232.32,12190.7,11243.24,11594.36,11380.67,12029.94,11887.84,11867.74,11692.93,11748.37,11599.74,11771.98,11958.91,11459.98,10755.75,11157.74,11245.12,11471.15,12053.27,11918.95,12235.75,12221.37,12251.07,12244.27,11745.22,11836.1,11400.56,11446.17,11146.23
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Cyprus,CYP,532,539,549,563,577.67,590.852,601.937,609.381,616.621,623.345,639.408,661.558,681.185,674.193,674.229,668.609,672.252,671.943,679.239,683.106,688.984,691.531,691.991,689.799,699.401,709.142,726.721,736.722,739.126,744.152
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Czechia,CZE,23656.29,22157.16,20655.07,19720.07,18517.41,17993.3,17763.28,17402.85,16711.23,15855.62,14976.93,14683.09,14135.97,14064.59,13652.18,14041.21,14292.28,13823.35,13924.49,13589.02,13817.01,13770.61,13619.07,12821.81,12755.02,12761.86,12474.42,12491.96,12408.24,12436.42
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Denmark,DNK,9430.654,9661.769,9686.277,9844.014,9691.263,9647.557,9729.832,9758.876,9738.6,9721.161,9930.154,10132.04,9979.057,9920.793,9860.541,9720.99,9550.955,9482.303,9225.333,8876.996,9046.725,8732.093,8562.428,8348.571,8195.704,8199.765,8149.864,8075.588,7952.877,7780.005
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Djibouti,DJI,440.656,446.25,450.753,462.577,478.34,512.066,536.148,546.329,560.166,584.441,591.054,595.126,598.391,602.953,610.553,614.365,609.973,613.761,616.75,621.183,624.174,626.844,633.405,636.37,641.143,645.543,646.609,649.16,652.346,655.527
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Dominica,DMA,97.73,97.585,97.68,97.955,98.092,88.52,79.255,69.825,60.395,50.967,41.538,41.538,41.04,41.04,41.04,41.543,41.564,41.763,41.792,41.821,42.137,42.545,43.066,42.899,42.982,43.005,43.063,43.244,43.392,43.539
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Dominican Republic,DOM,5957.368,6562.697,6679.988,7252.015,7552.67,7318.368,7212.635,6991.933,6814.095,6406.393,6269.265,6595.356,6812.631,6726.229,7234.167,7042.005,7144.789,7839.905,8035.831,8320.46,8470.331,8562.9,8587.252,8648.611,8710.125,8738.439,8835.035,8960.387,9142.998,9306.925
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Ecuador,ECU,17805.73,18046.99,19286,20635.46,21860.4,22149.41,22863.07,23420.69,22396.47,22727.89,21840.11,23507.93,23740.08,24458.08,26740.72,26639.83,27100.56,26497.08,26761.6,27182,27686.92,27865.4,27820.28,28267.36,27831.08,27051.43,27314.16,27145.03,26545.81,27166.89
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,"Egypt, Arab Rep.",EGY,31308.98,34544.82,35737.58,38642.25,40486.86,42513.2,44418.5,46263.12,46273.73,50260.84,50863.97,52007.72,53921.25,55014.52,55512.14,59171.39,60937.33,63147.09,64849.29,63568.15,62713.48,64929.59,67262.88,65772.44,66610.12,65535.78,67955.01,69793.16,70547.61,75129.01
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,El Salvador,SLV,3218.781,3286.866,3352.588,3286.589,3397.091,3246.315,3566.516,3468.832,3368.836,3566.157,3261.56,3583.714,3785.902,3772.823,3861.204,3939.785,4062.162,4127.932,4198.775,4131.29,3996.41,3688.099,3856.624,3511.467,3724.439,3692.574,3575.205,3535.325,3500.146,3479.285
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Equatorial Guinea,GNQ,97.389,232.8,1158.919,1266.338,1356.412,1471.938,1706.772,2768.166,3623.312,4004.411,4574.163,5886.842,5436.426,6321.957,7360.781,7680.393,7604.326,7518.89,7197.546,6295.829,6437.553,5729.829,5606.256,5299.127,8127.892,7421.091,6889.461,6293.247,6170.02,5665.305
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Eritrea,ERI,2464.26,2477.677,2703.02,2308.622,2367.43,2405.693,2701.604,3056.253,3138.701,3225.657,3266.993,3087.162,3075.455,3173.868,3184.711,3238.254,3141.485,3352.622,3375.745,3392.147,3312.97,3456.637,3481.617,3520.131,3542.018,3565.493,3614.59,3625.98,3651.965,3680.185
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Estonia,EST,2300,2274.684,2311.073,2085.491,1792.829,1727.45,1668.875,1628.39,1565.196,1520.104,1464.445,1445.769,1440.712,1399.152,1414.636,1352.109,1342.674,1330.418,1309.717,1271.64,1288.151,1227.805,1229.159,1204.324,1190.896,1181.496,1101.315,1114.694,1112.839,1105.884
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Eswatini,SWZ,1172.381,1206.299,1237.961,1123.825,1151.303,1175.492,1214.658,1238.978,1256.269,1261.98,1287.525,1228.324,1265.936,1326.785,1339.585,1364.576,1291.993,1300.54,1267.771,1226.6,1243.969,1247.496,1260.418,1264.029,1269.849,1256.278,1258.69,1282.097,1294.349,1326.684
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Ethiopia,ETH,41513.19,41881.86,43001.98,39208.68,39767.33,40087.02,41780.39,43221.54,46667.73,46443.2,44480.12,46573.76,52126.48,51028.39,51933.33,54110.7,57196.69,62920.61,65499.6,68245.25,71260.77,70286.04,72738.22,74936.19,77314.75,78964.72,81108.55,82864.31,83136.82,84142.65
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Fiji,FJI,682.906,701.569,712.535,759.791,790.208,822.91,816.808,814.56,805.028,784.835,787.78,801.955,770.643,762.283,768.165,766.038,765.227,773.56,771.671,767.33,761.131,760.318,760.975,766.704,364.971,369.736,372.207,401.324,406.023,448.462
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Finland,FIN,8545.808,8459.067,8400.71,8373.538,8295.797,8077.481,7973.011,7862.838,7617.047,7420.719,7094.041,6932.962,6676.112,6442.941,6208.269,5920.49,6007.324,5821.541,5698.671,5583.259,5677.99,5478.673,5471.324,5342.029,5210.776,5125.089,5024.849,4902.844,4745.918,4639.746
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,France,FRA,70705.43,70623.52,70082.58,70219.18,70227.11,70738.54,71272.28,70461.06,70695.58,70813.14,73109.36,73400.2,72092.75,70953.78,70265.12,69562.77,68876.47,69076.83,69214.79,68004.15,67929.07,65516.89,64937.9,64847.46,63688.31,63114.93,62201.51,61304.61,60562.58,59656.45
